numero,arquivo,artista,musica
01001,01001.mp4,PARALAMAS DO SUCESSO,A LHE ESPERAR
01002,01002.mp4,AVIÕES DO FORRÓ,AGORA CHORA - COM BANDA CALYPSO
01003,01003.mp4,ASA DE ÁGUIA,ALÉM MAR - COM IVETE SANGALO
01004,01004.mp4,FRESNO,ALGUÉM QUE TE FAZ SORRIR
01005,01005.mp4,EDUARDO COSTA,AMIGO - COM AMADO BATISTA
01006,01006.mp4,IVETE SANGALO,CADÊ DALILA
01007,01007.mp4,IVETE SANGALO,DENGO DE AMOR
01008,01008.mp4,ASA DE ÁGUIA,DIA DO ASA
01009,01009.mp4,ASA DE ÁGUIA,FARRAUÊ
01010,01010.mp4,CHICLETE COM BANANA,FLUTUAR
01011,01011.mp4,EDSON E HUDSON,IMPREVISÍVEL - COM BRUNO E MARRONE
01012,01012.mp4,BANDA CALYPSO,MÁQUINA DO TEMPO
01013,01013.mp4,TONY GARRIDO,ME LIBERTEI
01014,01014.mp4,EDUARDO COSTA,MELHOR OU PIOR
01015,01015.mp4,MOACYR FRANCO,MILAGRE DA FLECHA
01016,01016.mp4,HUGO E TIAGO,MISTERIOSA
01017,01017.mp4,GUILHERME E SANTIAGO,O AMOR É ASSIM
01018,01018.mp4,ZEZÉ DI CAMARGO E LUCIANO,O QUE VAI SER DE NÓS
01019,01019.mp4,ARMANDINHO,OUTRA VIDA
01020,01020.mp4,LATINO,PANCADÃO OU SERTANEJO - COM ANDRÉ E ADRIANO
01021,01021.mp4,CESAR MENOTTI E FABIANO,PARA DE CHORAR
01022,01022.mp4,SKANK,PARA-RAIO
01023,01023.mp4,BELO,PERFUME
01024,01024.mp4,JAKE,PÓ PARÁ COM PÓ
01025,01025.mp4,JAMMIL E UMA NOITES,SAUDADE DÓI
01026,01026.mp4,LUIZ CLÁUDIO E GIULIANO,SEU JARDINEIRO (MARGARIDA)
01027,01027.mp4,DANIELA MÉRCURY,SOL DO SUL
01028,01028.mp4,BANDA EVA,TODA LINDA
01029,01029.mp4,JOTA QUEST,VEM ANDAR COMIGO
01030,01030.mp4,BANDA CALYPSO,VIAGEM LOUCA
01071,01071.mp4,MUSICAL SAN FRANCISCO,ATENDA O TELEFONE
01072,01072.mp4,JEITO MOLEQUE,CORAÇÃO ABERTO
01073,01073.mp4,ALEXANDRE PIRES,DESSA VEZ EU ME RENDO
01074,01074.mp4,CHEIRO DE AMOR,DIAS DE SOL
01075,01075.mp4,MART'NÁLIA,ELA É MINHA CARA
01076,01076.mp4,FREJAT,EU NÃO QUERO BRIGAR MAIS NÃO
01077,01077.mp4,ALEXANDRE PEIXE,EU SOU MAIS VOCÊ
01078,01078.mp4,RODRIGUINHO E THIAGUINHO,FATALMENTE
01079,01079.mp4,SWING E SIMPATIA,IRRACIONAL
01080,01080.mp4,EXALTASAMBA,JOGO DE SEDUÇÃO
01081,01081.mp4,JOTA QUEST,LA PLATA
01082,01082.mp4,TATAU,MAIS DE MIL MOTIVOS
01083,01083.mp4,WANESSA CAMARGO,ME PEGA DE JEITO
01084,01084.mp4,INIMIGOS DA HP,MIL PALAVRAS
01085,01085.mp4,VÍCTOR E LÉO,NADA NORMAL
01086,01086.mp4,SEU CUCA,NÃO HÁ
01087,01087.mp4,JEITO MOLEQUE,NAS NUVEN
01088,01088.mp4,ZEZÉ DI CAMARGO E LUCIANO,NUNCA AMEI ASSIM
01089,01089.mp4,STRIKE,O JOGO VIROU
01090,01090.mp4,PAPAS DA LÍNGUA,"OBA, OBA"
01091,01091.mp4,ROBERTO LEAL,BATE O PÉ
01092,01092.mp4,TIHUANA,DE LONGE
01093,01093.mp4,FERNANDO MENDES,DE QUE VALE TER TUDO NA VIDA
01094,01094.mp4,ISABELLA TAVIANI,DIGA SIM PRA MIM
01095,01095.mp4,O RAPPA,MEU MUNDO É O BARRO
01096,01096.mp4,BIQUINI CAVADÃO,MÚMIAS - COM RENATO RUSSO
01097,01097.mp4,LEONARDO,POR QUE É TÃO CRUEL O AMOR
01098,01098.mp4,SORRISO MAROTO,TARDE DEMAIS
01099,01099.mp4,ROBERTO LEAL,VERDE VINHO
01100,01100.mp4,ZÉ RAMALHO,VILA DO SOSSEGO
01101,01101.mp4,ZECA BALEIRO,VOCÊ É MÁ
01102,01102.mp4,EDUARDO COSTA,VOCÊ FOI ATRIZ - COM BRUNO E MARRONE
01103,01103.mp4,NARA LEÃO,ATÉ QUEM SABE
01104,01104.mp4,INIMIGOS DA HP,BONS MOMENTOS
01105,01105.mp4,MART'NÁLIA,CABIDE
01106,01106.mp4,ALEXANDRE PIRES,CHEGUEI TARDE DEMAIS - COM DANIEL
01107,01107.mp4,MART'NÁLIA,"DON'T WORRY, BE HAPPY"
01108,01108.mp4,LENINE,É O QUE ME INTERESSA
01109,01109.mp4,GONZAGUINHA,FELIZ
